ID,Catégorie,User_story,Estimation Min (h),Estimation Max (h),Avancement (%)
INFRA-01,INFRA,"En tant que développeur, je dois configurer un nouveau projet Next.js avec TypeScript, Tailwind CSS, ESLint et Prettier pour établir la base technique du mock.",2,4,100
INFRA-02,INFRA,"En tant que développeur, je dois créer la structure de layout principale de l'application (barre latérale, en-tête, zone de contenu) pour avoir un cadre visuel cohérent sur toutes les pages.",2,3,100
INFRA-03,INFRA,"En tant que développeur, je dois mettre en place un système de données mockées (ex: fichiers JSON ou objets TS) pour simuler les réponses de l'API et alimenter l'interface.",2,4,100
UI-01,UI,"En tant qu'utilisateur, je veux voir une barre de navigation latérale statique avec les liens vers le Dashboard, Mes Listes et Mon Compte pour naviguer dans l'application.",1,2,100
UI-02,UI,"En tant qu'utilisateur, je veux voir un en-tête persistant affichant des informations de base comme le plan actuel et le nombre de crédits restants.",1,2,100
UI-03,UI,"En tant que développeur, je dois créer une bibliothèque de composants réutilisables (Boutons, Champs de saisie, Tableaux, Modales) basés sur le design de Spread pour assurer la cohérence visuelle.",4,8,100
DATA-01,DATA,"En tant que développeur, je dois créer un fichier de mock data contenant une liste de 50 profils d'influenceurs avec leurs statistiques de base (nom, followers, engagement, ER).",1,3,100
DATA-02,DATA,"En tant que développeur, je dois créer des fichiers de mock data détaillés pour au moins 5 influenceurs, incluant les données d'audience complètes (démographie, intérêts, etc.).",2,4,100
DATA-03,DATA,"En tant de développeur, je dois créer un fichier de mock data pour 'Mes Listes', simulant plusieurs listes créées par l'utilisateur avec des influenceurs associés.",1,2,100
DATA-04,DATA,"En tant que développeur, je dois créer un fichier de mock data pour les informations du compte utilisateur et de son abonnement (Plan Elite, date de renouvellement).",0.5,1,100
DASH-01,DASH,"En tant qu'utilisateur, je veux voir un Dashboard affichant mes quotas d'utilisation (Recherches, Profils consultés, Utilisateurs) pour suivre ma consommation.",1,2,100
DASH-02,DASH,"En tant qu'utilisateur, je veux voir les détails de mon abonnement (nom du plan, date de renouvellement) sur le Dashboard pour savoir quand il sera renouvelé.",0.5,1,100
SEARCH-01,SEARCH,"En tant qu'utilisateur, je veux voir l'interface de recherche avancée avec tous les filtres disponibles (localisation, engagement, followers, etc.) pour comprendre les capacités de ciblage.",3,5,100
SEARCH-02,SEARCH,"En tant qu'utilisateur, je veux voir les résultats de ma recherche affichés dans un tableau clair avec les colonnes Nom, Followers, Engagement, et Taux d'Engagement.",1,2,100
SEARCH-03,SEARCH,"En tant que développeur, je dois peupler le tableau de résultats de recherche avec les données mockées d'influenceurs pour simuler une recherche réelle.",1,2,100
SEARCH-04,SEARCH,"En tant qu'utilisateur, je veux voir les onglets statiques pour Instagram, YouTube et TikTok pour comprendre que la recherche est multi-plateforme.",0.5,1,100
PROFILE-01,PROFILE,"En tant qu'utilisateur, je veux pouvoir cliquer sur 'Consulter rapport' et voir une fiche détaillée d'un influenceur apparaître dans un panneau latéral.",2,4,100
PROFILE-02,PROFILE,"En tant que développeur, je dois remplir la fiche détaillée de l'influenceur avec les données mockées correspondantes, incluant les highlights, les stats et les contacts.",1,3,100
PROFILE-03,PROFILE,"En tant qu'utilisateur, je veux voir que le rapport d'audience est initialement 'verrouillé' et que je peux le 'débloquer' via un clic pour simuler la consommation de crédit.",1,2,100
PROFILE-04,PROFILE,"En tant qu'utilisateur, je veux voir tous les graphiques d'analyse d'audience (genre, âge, localisation, intérêts) dans la fiche détaillée, alimentés par les données mockées.",3,5,100
LISTS-01,LISTS,"En tant qu'utilisateur, je veux une page 'Mes Listes' qui affiche un tableau de toutes les listes que j'ai créées avec leur nom, le nombre de contacts et la date de création.",1,2,100
LISTS-02,LISTS,"En tant que développeur, je dois peupler la page 'Mes Listes' avec les données mockées pour simuler des listes existantes.",0.5,1,100
LISTS-03,LISTS,"En tant qu'utilisateur, je veux pouvoir cliquer sur une liste pour voir une page de détail affichant les influenceurs qu'elle contient.",1,2,100
LISTS-04,LISTS,"En tant que développeur, je dois peupler la vue détaillée d'une liste avec les informations de contact mockées des influenceurs.",0.5,1,100
LISTS-05,LISTS,"En tant qu'utilisateur, je veux voir un bouton 'Exporter en .csv' sur mes listes, même s'il n'est pas fonctionnel dans le mock.",0.5,1,100
ACCOUNT-01,ACCOUNT,"En tant qu'utilisateur, je veux une page 'Mon Compte' avec des onglets pour modifier mes informations personnelles et changer mon mot de passe.",1,3,100
ACCOUNT-02,ACCOUNT,"En tant que développeur, je dois pré-remplir les formulaires de la page 'Mon Compte' avec des données utilisateur mockées.",0.5,1,100
ACCOUNT-03,ACCOUNT,"En tant qu'utilisateur, je veux voir un onglet 'Abonnement' dans 'Mon Compte' qui affiche les détails de mon plan actuel et la date de renouvellement.",1,2,100
UNLOCK-01,UNLOCK,"En tant qu'utilisateur, je veux voir une modale de déblocage de rapports d'audience lors du téléchargement CSV d'une liste, me permettant de consommer des crédits pour débloquer les rapports manquants.",2,4,100
SHARE-01,SHARE,"En tant qu'utilisateur, je veux pouvoir partager un rapport d'audience en un clic avec un lien brandé Spread incluant un CTA 'Essayer Spread' pour faire du growth hacking.",3,5,100
SHARE-02,SHARE,"En tant que développeur, je dois créer un système de tracking des liens partagés pour mesurer les consultations et conversions des rapports partagés.",2,4,0
SHARE-03,SHARE,"En tant qu'utilisateur, je veux voir les statistiques de mes partages (vues, clics) dans une section dédiée pour mesurer l'impact de mes partages.",1,2,0
CRM-01,CRM,"En tant qu'utilisateur, je veux pouvoir contacter un influenceur ou une liste d'influenceurs pour qu'ils soient automatiquement ajoutés à un CRM de contact intégré.",3,6,100
CRM-02,CRM,"En tant qu'utilisateur, je veux voir un pipeline de contact avec les colonnes 'Contacté', 'Répondu', 'Négociation', 'Fermé' pour gérer mes campagnes.",2,4,0
CRM-03,CRM,"En tant qu'utilisateur, je veux pouvoir déplacer les influenceurs entre les différentes étapes du pipeline pour suivre l'avancement de mes négociations.",1,2,0
CRM-04,CRM,"En tant qu'utilisateur, je veux voir l'historique des communications avec chaque influenceur pour avoir une vue d'ensemble de nos échanges.",2,3,0
CRM-05,CRM,"En tant qu'utilisateur, je veux pouvoir ajouter des notes et des rappels sur chaque contact pour organiser mon suivi commercial.",1,2,0
EMAIL-01,EMAIL,"En tant qu'utilisateur, je veux pouvoir connecter ma boîte mail Google Workspace ou Outlook pour synchroniser mes emails avec les influenceurs.",4,8,0
EMAIL-02,EMAIL,"En tant qu'utilisateur, je veux voir tous les fils d'emails avec un influenceur directement dans son profil pour avoir une vue unifiée de nos communications.",2,4,0
EMAIL-03,EMAIL,"En tant qu'utilisateur, je veux une page centralisée qui regroupe toutes mes communications email avec tous les influenceurs pour un suivi global.",2,3,0
SEARCH-05,SEARCH,"En tant qu'utilisateur, je veux pouvoir utiliser une recherche IA en langage naturel (ex: 'trouve des micro-influenceurs dans le tennis') qui remplit automatiquement le formulaire de recherche.",4,8,0
SEARCH-06,SEARCH,"En tant qu'utilisateur, je veux pouvoir effectuer une recherche vocale qui transforme ma voix en critères de recherche automatiques.",3,6,0
SEARCH-07,SEARCH,"En tant que développeur, je dois ajouter tous les champs de recherche disponibles dans l'API Modash pour offrir un ciblage plus précis.",2,4,0
SEARCH-08,SEARCH,"En tant qu'utilisateur, je veux voir un historique de mes recherches avec la possibilité de les relancer ou de rafraîchir les résultats contre des crédits.",2,4,0
PRICING-01,PRICING,"En tant qu'utilisateur, je veux voir une page de pricing avec un calculateur interactif me permettant de choisir entre le nombre de rapports d'influenceurs ou le nombre de recherches par mois pour connaître le prix adapté à mes besoins.",3,5,100
PRICING-02,PRICING,"En tant qu'utilisateur abonné, je veux pouvoir acheter des crédits supplémentaires quand j'arrive au bout de ma consommation mensuelle, avec des packages de 10, 50 ou 100 crédits, sachant qu'un crédit me donne accès à 15 résultats de recherche ou à un rapport d'audience.",4,6,0
ONBOARDING-02,ONBOARDING,"En tant qu'utilisateur, je veux un onboarding simplifié en 2 étapes avec un sélecteur 'Agence ou Marque' qui adapte les champs affichés, puis une redirection automatique vers le dashboard avec une modale optionnelle pour réserver une démo.",3,5,0
EMAIL-COMMUNICATIONS,EMAIL,"En tant qu'utilisateur, je veux pouvoir contacter en masse les influenceurs d'une liste et suivre toutes mes conversations email comme dans Lemlist, avec un historique visible dans chaque profil et une vue centralisée de toutes mes communications.",6,12,100
LISTS-06,LISTS,"En tant qu'utilisateur, je veux pouvoir sélectionner individuellement les contacts d'une liste auxquels envoyer des emails, avec des filtres avancés et une prévisualisation des contacts sélectionnés.",4,8,0
COMM-01,COMMUNICATION,"En tant qu'utilisateur, je veux un système de communication harmonisé et centralisé qui unifie toutes les interfaces d'envoi d'emails et de gestion des conversations.",8,15,100
NAV-01,NAVIGATION,"En tant qu'utilisateur, je veux une navigation regroupée par cas d'utilisation (Recherche, Communication, Gestion, Analytics) pour améliorer ma productivité et la découvrabilité des fonctionnalités.",3,6,0
ANALYTICS-01,ANALYTICS,"En tant qu'utilisateur, je veux un système d'analyse des campagnes avec métriques de performance, ROI et rapports détaillés pour mesurer l'efficacité de mes actions de communication.",6,12,0
LANDING-01,LANDING,"En tant que visiteur, je veux une landing page claire et convaincante à la racine qui me présente la proposition de valeur et m'incite à lancer un essai gratuit.",2,4,100
